;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Freight Light Commercial Vehicles TTW Emissions (MTCO2e);535,7615968;527,9296831;520,0977694;512,2658557;504,433942;496,6020284;493,6672099;490,7323915;487,7975731;484,8627547;481,9279363;480,6458655;479,3637948;478,081724;476,7996533;475,5175825;470,4313794;465,3451764;460,2589733;455,1727702;450,0865672;444,3934076;438,7002481;433,0070886;427,313929;421,6207695;416,8290542;412,0373389;407,2456236;402,4539083;397,662193;393,2141434;388,7660937;384,3180441;379,8699944;375,4219448
Freight Light Commercial Vehicles TTW Intensity (gCO2e/tkm);424,3513437;410,4364407;397,0254895;384,0915999;371,6097613;359,5566813;348,4796578;337,9439397;327,9107952;318,3451013;309,2149335;299,6993577;290,7055257;282,1916712;274,1203702;266,4579907;257,5446329;249,0320909;240,8939233;233,1059646;225,6460851;218,7160181;212,0349596;205,5897256;199,3680466;193,3584897;187,9923357;182,801177;177,776591;172,9106867;168,1960641;163,5648742;159,0843369;154,7472186;150,5467417;146,4765491
Freight Light Commercial Vehicles WTT Emissions (MTCO2e);87,02753451;84,44219517;81,85685582;79,27151647;76,68617713;74,10083778;72,06999937;70,03916095;68,00832254;65,97748413;63,94664571;62,29577336;60,644901;58,99402864;57,34315628;55,69228393;52,50370998;49,31513603;46,12656208;42,93798813;39,74941417;34,2221915;28,69496883;23,16774616;17,64052349;12,11330081;5,552829145;-1,007642524;-7,568114193;-14,12858586;-20,68905753;-26,80734666;-32,92563578;-39,04392491;-45,16221404;-51,28050316
Freight Light Commercial Vehicles WTT Intensity (gCO2e/tkm);68,93038141;65,64918612;62,4868249;59,4369569;56,49368451;53,65151529;50,8742088;48,23262209;45,71704402;43,31866835;41,02949074;38,84357403;36,77751222;34,8217108;32,9675727;31,20737196;28,7439344;26,39127267;24,14207903;21,98967468;19,92794353;16,84305241;13,86900642;10,99993672;8,230381621;5,555251828;2,504358345;-0,447042591;-3,303739717;-6,070219305;-8,750688668;-11,15102383;-13,47327614;-15,72119466;-17,89829224;-20,0078638
Freight Light Commercial Vehicles WTW Emissions (MTCO2e);622,7891313;612,3718783;601,9546253;591,5373722;581,1201192;570,7028661;565,7372093;560,7715525;555,8058957;550,8402388;545,874582;542,9416389;540,0086958;537,0757527;534,1428096;531,2098664;522,9350894;514,6603124;506,3855354;498,1107584;489,8359813;478,6155991;467,3952169;456,1748347;444,9544525;433,7340703;422,3818834;411,0296964;399,6775094;388,3253225;376,9731355;366,4067967;355,8404579;345,2741192;334,7077804;324,1414416
Freight Light Commercial Vehicles WTW Intensity (gCO2e/tkm);493,2817251;476,0856268;459,5123144;443,5285568;428,1034458;413,2081966;399,3538666;386,1765618;373,6278392;361,6637696;350,2444242;338,5429317;327,4830379;317,013382;307,0879429;297,6653626;286,2885673;275,4233636;265,0360023;255,0956393;245,5740286;235,5590705;225,903966;216,5896623;207,5984282;198,9137415;190,496694;182,3541344;174,4728513;166,8404674;159,4453754;152,4138504;145,6110607;139,0260239;132,6484495;126,4686853
Freight Medium Freight Trucks Activity (bln tkm);8829,308436;8873,715934;8918,123431;8962,530929;9006,938426;9051,345924;9146,956447;9242,566969;9338,177492;9433,788015;9529,398538;9793,925074;10058,45161;10322,97815;10587,50468;10852,03122;11041,17606;11230,3209;11419,46574;11608,61059;11797,75543;11909,64214;12021,52886;12133,41557;12245,30229;12357,189;12433,13221;12509,07542;12585,01863;12660,96183;12736,90504;12843,28818;12949,67132;13056,05446;13162,43759;13268,82073
Freight Medium Freight Trucks TTW Emissions (MTCO2e);739,7014487;731,483953;723,2664572;715,0489615;706,8314657;698,61397;691,6408215;684,667673;677,6945245;670,721376;663,7482276;661,7033481;659,6584687;657,6135892;655,5687098;653,5238303;643,5214395;633,5190487;623,5166579;613,514267;603,5118762;589,1171095;574,7223428;560,327576;545,9328093;531,5380426;516,4385657;501,3390888;486,2396119;471,140135;456,0406581;443,2240367;430,4074153;417,5907939;404,7741725;391,9575511
Freight Medium Freight Trucks TTW Intensity (gCO2e/tkm);83,77795997;82,43265374;81,10074533;79,78203558;78,47632928;77,18343502;75,61431232;74,07765346;72,57246128;71,09777906;69,65268846;67,56263123;65,58250656;63,70386335;61,91909515;60,22133711;58,28377666;56,41148229;54,60121093;52,84993087;51,15480481;49,46555928;47,80775803;46,18053117;44,58304063;43,01447866;41,53728578;40,07802912;38,63638397;37,21203343;35,80466814;34,51016831;33,23693743;31,98445559;30,75221969;29,53974276
Freight Medium Freight Trucks WTT Emissions (MTCO2e);138,5657598;136,5456525;134,5255452;132,5054378;130,4853305;128,4652231;126,5145851;124,5639471;122,6133091;120,6626711;118,7120331;117,2769592;115,8418853;114,4068114;112,9717375;111,5366637;107,1362431;102,7358225;98,33540197;93,9349814;89,53456083;81,58069597;73,6268311;65,67296624;57,71910137;49,76523651;41,25657613;32,74791574;24,23925536;15,73059497;7,221934589;-1,170954035;-9,563842658;-17,95673128;-26,34961991;-34,74250853
