;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
SI.RESI (sqm);63150000;63215486,61;63297147,6;63390053,81;63489931,11;63593125;63696560,1;63797693,34;63894480,69;63985329,37;64069061,41;64144872,09;64212285,23;64271117,86;64321436,52;64363514,63;64397794,07;64424843,55;64445319,09;64459919,38;64469348,28;64474271,19;64475278,64;64472838,5;64467261,64;64458657,21;64446893,18;64431552,63;64411898,43;64386827,48;64354830,15
ES.RESI (sqm);1752580000;1758876569;1767176890;1776691840;1786751121;1796795252;1806367573;1815106241;1822736229;1829061323;1833956125;1837358043;1839259300;1839698922;1838754745;1836535407;1833172350;1828811819;1823606855;1817709302;1811261798;1804389775;1797193462;1789739877;1782054829;1774114916;1765839523;1757082822;1747625764;1737168089;1725320312
SE.RESI (sqm);469043181,8;473744182;478182036,3;482369929,7;486321108,1;490048878,4;493566609,1;496887729,9;500025732,3;502994169,1;505806655,1;508476867,1;511018543,8;513445486,2;515771557,2;518010682,6;520176850,5;522284111,6;524346579,5;526378430,5;528393904,2;530407303,2;532432993,3;534485403,9;536579027,6;538728421;540948204,3;543253061,5;545657740,8;548177054,5;550825879
UK.RESI (sqm);2674143973;2687969219;2704541555;2720386835;2735874864;2750423946;2764864303;2779599106;2794043798;2807983708;2821479269;2835197473;2848848004;2862230501;2875176337;2887801881;2900636000;2913073365;2925166966;2936694856;2948472716;2960023692;2971344089;2982430270;2993278660;3003885746;3014248080;3024362279;3034225029;3043833085;3053183275
HR.RESI (sqm);150850401,8;152689015,8;154450450,6;156138945,2;157758738,9;159314070,8;160809180,1;162248306;163635687,7;164975564,3;166272175;167529759;168752555,5;169944803,7;171110742,7;172254611,6;173380649,8;174493096,4;175596190,5;176694171,3;177791278;178891749,8;179999825,9;181119745,4;182255747,5;183412071,4;184592956,2;185802641,3;187045365,6;188325368,5;189646889
CH.RESI (sqm);472949100;477644130;482339160;487034190;491729220;496424250;501119280;505814310;510509340;515204370;519899400;524594430;529289460;533984490;538679520;543374550;548069580;552764610;557459640;562154670;566849700;571544730;576239760;580934790;585629820;590324850;595019880;599714910;604409940;609104970;613800000
NO.RESI (sqm);323686151,9;327345673,5;330883881,1;334164366,9;337423992,3;340413230,5;343154265,1;345668517,9;347976618,4;350098369,5;352052711,5;353857691,5;355530432,2;357087079,1;359125080,9;361082322,8;362971497,6;364804261;366591175,1;368341668,4;370063972,5;371765083,6;373450693,6;375125144,9;377204052,8;379279255,3;381350661,8;383416589,2;385473684,1;387516856,1;389539201,6
Europe.RESI (sqm);21432670559;21575047733;21711005985;21836128030;21953125633;22062959634;22162967295;22258769679;22349242323;22434345396;22516572908;22588238866;22657461753;22722756579;22785034022;22845204819;22899081509;22950972885;22999494727;23044722752;23088987449;23126654387;23163041745;23197152438;23229739672;23261664290;23288702110;23316473047;23343208876;23369702626;23398467085
AT.Comb (sqm);531728725,8;536729649,8;541349814,4;545677722,8;549782233;553715528;557515869,6;561210122,1;564816061,8;568344461;571800949,6;575187657,1;578504632,6;581751040,4;584926136,9;588030023,3;591064178,6;594031770,5;596937742,2;599788678,1;602592452,8;605357648,8;608092761,4;610805178,9;613499934,6;616178250;618835841,5;621461020,2;624032555;626517326,2;628867749,7
BE.Comb (sqm);615851851,9;619414115,1;622351797,6;624796304,9;626851491,8;628597963,2;630097045,5;631394421,4;632523424,7;633508001,5;634365333,1;635108122,5;635746543,4;636289855;636747675,4;637130924,6;637452423,1;637727163,9;637972235,9;638206420,8;638449446,4;638720906,5;639038846,2;639418002,5;639867717,6;640389508,3;640974306,5;641599350,5;642224754,7;642789728,9;643208472,4
BG.Comb (sqm);304703200;305780313,7;306752737,4;307622308;308390871,2;309060281,1;309632400,3;310109100,2;310492260,7;310783770,3;310985526,1;311099434,1;311127408,7;311071373,2;310933259,3;310715007,9;310418568,2;310045898,5;309598965,6;309079745,4;308490222,2;307832389,7;307108249,8;306319813,8;305469101,7;304558142,3;303588973,4;302563641,8;301484203,1;300352722,1;299171272,4
