";2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050"
"CZ.RMF.GHG-INT (kg/sqm);57,49737024;53,21777801;48,76480386;44,51234132;40,17149052;36,48892044;32,75636193;29,22893361;26,06394398;23,10698077;20,20090449;17,80726661;15,47717889;13,33257049;11,34413785;9,50932074;7,698942411;6,137455325;4,819750044;3,770624139;2,934988569;2,468924304;2,117484515;1,811432841;1,547218978;1,3027531;1,126931355;0,960185711;0,813895048;0,680791003;0,555298764"
"DK.RMF.GHG-INT (kg/sqm);17,91776363;16,75764624;15,45858954;14,20657822;12,96485836;11,86144829;10,72568742;9,669005384;8,688005291;7,762223687;6,852972145;6,091228723;5,345054112;4,64823582;3,99606174;3,388661896;2,802651963;2,275595013;1,827512492;1,468578773;1,180922263;1,02131414;0,900813802;0,795212784;0,703499404;0,617894658;0,556396068;0,497523299;0,445541204;0,397875662;0,352524034"
"EE.RMF.GHG-INT (kg/sqm);86,36390644;80,61491128;74,13071297;67,91495306;61,84586373;56,41259158;50,84439803;45,70740207;40,92298191;36,41720899;32,01001515;28,31276575;24,69724674;21,3189597;18,15735336;15,21216929;12,38460764;9,825389717;7,648208442;5,903147099;4,503655531;3,728014849;3,142555665;2,629148643;2,182982797;1,766006805;1,46674397;1,179802903;0,926181282;0,693224787;0,47103608"
"FI.RMF.GHG-INT (kg/sqm);22,86170161;21,38122482;19,74314816;18,16295511;16,57220696;15,17884365;13,74227449;12,39301891;11,15062974;9,976509453;8,814360891;7,845438168;6,890845619;5,998508996;5,160410931;4,376934093;3,605971197;2,920118689;2,335220671;1,865610308;1,488434331;1,2802185;1,123265493;0,985510059;0,865752703;0,753659702;0,673598217;0,596728546;0,528862168;0,466567216;0,40716388"
"FR.RMF.GHG-INT (kg/sqm);18,98278827;17,58474901;16,22053149;14,90690494;13,46942415;12,31854964;11,14202498;9,9819035;8,97476678;8,028707518;7,073578261;6,30056962;5,5360897;4,833706981;4,178028333;3,568776657;2,93134338;2,404931386;1,958096084;1,600611583;1,314484675;1,155542965;1,035592858;0,930640094;0,839629516;0,754849373;0,693937607;0,635707897;0,584295435;0,537114472;0,492145381"
"DE.RMF.GHG-INT (kg/sqm);33,42507176;31,24771073;28,77232834;26,38860401;24,05612869;21,96047276;19,81525533;17,83396452;15,98649421;14,24603127;12,54782966;11,11557881;9,718440362;8,412229153;7,189508732;6,050346118;4,959165669;3,969067528;3,12672323;2,451522861;1,909485126;1,609601942;1,382703894;1,18376801;1,010933721;0,84978446;0,733625802;0,622623585;0,52459092;0,434651793;0,348962491"
"EL.RMF.GHG-INT (kg/sqm);32,01027267;29,71833454;27,38061012;25,13851921;22,77064941;20,8120134;18,8077238;16,87063275;15,15207507;13,53496423;11,91644222;10,59086432;9,28244927;8,071459824;6,937847266;5,881419321;4,807678733;3,889537266;3,108001309;2,481126208;1,978004331;1,698423756;1,487034245;1,301538686;1,140234622;0,989511693;0,881062998;0,777158789;0,685312497;0,600995136;0,520671104"
"HU.RMF.GHG-INT (kg/sqm);24,51050726;22,97188165;21,28438184;19,626559;17,89643249;16,40911415;14,86785064;13,39965047;12,06112609;10,79413092;9,533280657;8,474926175;7,433081664;6,462364344;5,552373705;4,703456819;3,8648997;3,126273566;2,497680249;1,993733233;1,589599215;1,365031868;1,195392692;1,046741147;0,917661055;0,797237357;0,710659566;0,627799423;0,554600629;0,487432173;0,42347928"
"IE.RMF.GHG-INT (kg/sqm);40,37898975;37,99616655;35,12429106;32,32861069;29,62665875;27,13218986;24,54526474;22,17620356;19,92452413;17,79056075;15,70340978;13,93508598;12,19976552;10,56515087;9,027581399;7,588301386;6,225672281;4,96356288;3,886100074;3,019977136;2,323381287;1,937572899;1,645956332;1,389490087;1,165985878;0,956365001;0,805702278;0,66069766;0,532103979;0,413565509;0,300102396"
"IT.RMF.GHG-INT (kg/sqm);27,09194903;25,19088478;23,12804855;21,15422411;19,18695605;17,47088862;15,72453737;14,09648828;12,60854557;11,2143382;9,849790539;8,715386701;7,610174779;6,585980678;5,632830068;4,749941456;3,893097994;3,135378659;2,493801748;1,981518368;1,572267833;1,344342491;1,172275667;1,021962653;0,891804743;0,770889502;0,68387642;0,601011411;0,528082799;0,461492961;0,39846879"
